Colleges,Student Enrollment
College of Engineering,"7,873"
College of Professional Studies,"6,968"
DAmore-McKim School of Business,"5,611"
Khoury College of Computer Sciences,"4,710"
College of Science,"4,010"
Bouve College of Health Sciences,"3,396"
College of Social Sciences and Humanities,"2,364"
"College of Arts, Media and Design","1,725"
School of Law,699
University Programs,469
Total,"37,825"
