College,Student Enrollment
College of Engineering,"8,451"
College of Professional Studies,"7,178"
DAmore-McKim School of Business,"5,583"
Khoury College of Computer Sciences,"4,130"
College of Science,"3,802"
Bouve College of Health Sciences,"3,474"
College of Social Sciences and Humanities,"2,302"
"College of Arts, Media and Design","1,704"
School of Law,709
University Programs,446
Total,"37,779"
