Colleges,Student Enrollment
College of Engineering,"8,545"
College of Professional Studies,"7,179"
DAmore-McKim School of Business,"6,047"
Khoury College of Computer Sciences,"5,919"
College of Science,"4,611"
Bouve College of Health Sciences,"3,711"
College of Social Sciences and Humanities,"2,616"
"College of Arts, Media and Design","1,819"
School of Law,781
University Programs,614
Total,"41,842"
